,id,truth_scaled,prediction0,logstd0,avg_prediction_scaled,prediction,truth
88,10251,0.1661584,0.22323333,0.110409096,0.22323333,0.22323333,0.1661584
89,123,0.40537155,0.49357826,0.095136076,0.49357826,0.49357826,0.40537155
90,3369,0.49106452,0.5449568,0.10004102,0.5449568,0.5449568,0.49106452
91,2626,0.49005577,0.3672785,0.10436663,0.3672785,0.3672785,0.49005577
92,1748,0.50838387,0.43618312,0.10734088,0.43618312,0.43618312,0.50838387
93,5613,0.42384726,0.4321346,0.11763416,0.4321346,0.4321346,0.42384726
94,8299,0.6183466,0.5567733,0.12865056,0.5567733,0.5567733,0.6183466
95,10356,0.5525488,0.5232128,0.09894464,0.5232128,0.5232128,0.5525488
96,6415,0.42155507,0.5462582,0.14312714,0.5462582,0.5462582,0.42155507
97,2087,0.51298356,0.37849292,0.06782797,0.37849292,0.37849292,0.51298356
98,5228,0.52022827,0.49617222,0.1846849,0.49617222,0.49617222,0.52022827
99,2589,0.9800209,0.5139481,0.16747358,0.5139481,0.5139481,0.9800209
100,8019,0.34997633,0.41738135,0.10456509,0.41738135,0.41738135,0.34997633
101,11321,0.49414915,0.46182692,0.10619788,0.46182692,0.46182692,0.49414915
102,11076,0.21744443,0.18597466,0.050174728,0.18597466,0.18597466,0.21744443
103,9481,0.2988514,0.42385852,0.11881767,0.42385852,0.42385852,0.2988514
104,6037,0.21358657,0.19997758,0.070075996,0.19997758,0.19997758,0.21358657
105,4074,0.19444966,0.19215721,0.05089308,0.19215721,0.19215721,0.19444966
106,6866,0.38329616,0.4686764,0.097135685,0.4686764,0.4686764,0.38329616
107,4193,0.45551527,0.68900126,0.13344288,0.68900126,0.68900126,0.45551527
108,11468,0.4943787,0.5842171,0.14888997,0.5842171,0.5842171,0.4943787
109,3842,0.20736742,0.3188762,0.11410843,0.3188762,0.3188762,0.20736742
110,6436,0.14972606,0.19663826,0.06722267,0.19663826,0.19663826,0.14972606
111,10884,0.24281564,0.28726977,0.07279086,0.28726977,0.28726977,0.24281564
112,2189,0.4861158,0.50569546,0.08242364,0.50569546,0.50569546,0.4861158
113,15170,0.74198455,0.55365217,0.13905366,0.55365217,0.55365217,0.74198455
114,2453,0.40208414,0.33956295,0.16318789,0.33956295,0.33956295,0.40208414
115,11784,0.4197436,0.5392436,0.15666987,0.5392436,0.5392436,0.4197436
116,9612,0.43802112,0.22462939,0.076046936,0.22462939,0.22462939,0.43802112
117,13119,0.2041163,0.19450676,0.056493614,0.19450676,0.19450676,0.2041163
118,6630,0.40752342,0.455939,0.101263665,0.455939,0.455939,0.40752342
119,7709,0.44457144,0.48076153,0.16027273,0.48076153,0.48076153,0.44457144
120,11087,0.49561343,0.5528356,0.14028974,0.5528356,0.5528356,0.49561343
121,2145,0.29976064,0.46982765,0.14638425,0.46982765,0.46982765,0.29976064
122,14974,0.2019847,0.23175707,0.09785917,0.23175707,0.23175707,0.2019847
123,1655,0.3203493,0.25384468,0.08533377,0.25384468,0.25384468,0.3203493
