,id,truth_scaled,prediction0,logstd0,avg_prediction_scaled,prediction,truth
93,5613,0.42384726,0.44210228,0.06387761,0.44210228,0.44210228,0.42384726
94,8299,0.6183466,0.54659486,0.07693269,0.54659486,0.54659486,0.6183466
95,10356,0.5525488,0.5702718,0.07204686,0.5702718,0.5702718,0.5525488
96,6415,0.42155507,0.54761636,0.06961421,0.54761636,0.54761636,0.42155507
97,2087,0.51298356,0.34653652,0.026828593,0.34653652,0.34653652,0.51298356
98,5228,0.52022827,0.5218333,0.13811563,0.5218333,0.5218333,0.52022827
99,2589,0.9800209,0.5464436,0.10164228,0.5464436,0.5464436,0.9800209
100,8019,0.34997633,0.42782158,0.07029785,0.42782158,0.42782158,0.34997633
101,11321,0.49414915,0.45785847,0.0572425,0.45785847,0.45785847,0.49414915
102,11076,0.21744443,0.16825971,0.027258502,0.16825971,0.16825971,0.21744443
103,9481,0.2988514,0.35354626,0.069385216,0.35354626,0.35354626,0.2988514
104,6037,0.21358657,0.19315079,0.038128372,0.19315079,0.19315079,0.21358657
105,4074,0.19444966,0.17688046,0.022928383,0.17688046,0.17688046,0.19444966
106,6866,0.38329616,0.4092027,0.05355217,0.4092027,0.4092027,0.38329616
107,4193,0.45551527,0.7461528,0.1919086,0.7461528,0.7461528,0.45551527
108,11468,0.4943787,0.552139,0.09800753,0.552139,0.552139,0.4943787
109,3842,0.20736742,0.34678486,0.07220682,0.34678486,0.34678486,0.20736742
110,6436,0.14972606,0.20132864,0.045529813,0.20132864,0.20132864,0.14972606
111,10884,0.24281564,0.32363883,0.05041733,0.32363883,0.32363883,0.24281564
112,2189,0.4861158,0.508227,0.05376888,0.508227,0.508227,0.4861158
113,15170,0.74198455,0.5715425,0.09398134,0.5715425,0.5715425,0.74198455
114,2453,0.40208414,0.28265014,0.057771914,0.28265014,0.28265014,0.40208414
115,11784,0.4197436,0.512979,0.074118815,0.512979,0.512979,0.4197436
116,9612,0.43802112,0.22893569,0.03652039,0.22893569,0.22893569,0.43802112
117,13119,0.2041163,0.17927724,0.026798379,0.17927724,0.17927724,0.2041163
118,6630,0.40752342,0.4486499,0.05146663,0.4486499,0.4486499,0.40752342
119,7709,0.44457144,0.49881595,0.0968816,0.49881595,0.49881595,0.44457144
120,11087,0.49561343,0.54071593,0.079769805,0.54071593,0.54071593,0.49561343
121,2145,0.29976064,0.49334177,0.093624026,0.49334177,0.49334177,0.29976064
122,14974,0.2019847,0.21420994,0.04552402,0.21420994,0.21420994,0.2019847
123,1655,0.3203493,0.24370489,0.04654284,0.24370489,0.24370489,0.3203493
124,12058,0.44789356,0.4135699,0.061074477,0.4135699,0.4135699,0.44789356
125,6741,0.31285942,0.31098902,0.058095664,0.31098902,0.31098902,0.31285942
126,9682,0.40633833,0.41753662,0.06292571,0.41753662,0.41753662,0.40633833
127,6831,0.22368015,0.20385727,0.042363394,0.20385727,0.20385727,0.22368015
128,12973,0.5550136,0.587016,0.09103697,0.587016,0.587016,0.5550136
129,304,0.7005658,0.5421339,0.12971264,0.5421339,0.5421339,0.7005658
130,14399,0.41385257,0.22450557,0.0453218,0.22450557,0.22450557,0.41385257
131,10546,0.27367157,0.16780692,0.032821484,0.16780692,0.16780692,0.27367157
132,4353,0.40285563,0.5177444,0.072985895,0.5177444,0.5177444,0.40285563
133,10550,0.35161692,0.40691108,0.07617659,0.40691108,0.40691108,0.35161692
134,2405,0.34048045,0.30155674,0.061611854,0.30155674,0.30155674,0.34048045
135,6803,0.20224649,0.18600394,0.029194294,0.18600394,0.18600394,0.20224649
136,426,0.33469233,0.31279653,0.050451405,0.31279653,0.31279653,0.33469233
137,5747,0.45074895,0.331356,0.055701073,0.331356,0.331356,0.45074895
138,5375,0.15489438,0.24263838,0.050200347,0.24263838,0.24263838,0.15489438
139,12176,0.4937624,0.5216909,0.060671434,0.5216909,0.5216909,0.4937624
140,12184,0.18477239,0.33130035,0.040082615,0.33130035,0.33130035,0.18477239
